C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P4_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P4_2PORT
15.215,-0.873754
15.22,-0.872653
15.225,-0.871553
15.23,-0.870456
15.235,-0.86936
15.24,-0.868267
15.245,-0.867175
15.25,-0.866086
15.255,-0.864999
15.26,-0.863914
15.265,-0.862832
15.27,-0.861752
15.275,-0.860674
15.28,-0.859599
15.285,-0.858527
15.29,-0.857458
15.295,-0.856391
15.3,-0.855328
15.305,-0.854268
15.31,-0.853211
15.315,-0.852157
15.32,-0.851107
15.325,-0.85006
15.33,-0.849017
15.335,-0.847979
15.34,-0.846944
15.345,-0.845913
15.35,-0.844887
15.355,-0.843866
15.36,-0.842849
15.365,-0.841837
15.37,-0.840831
15.375,-0.83983
15.38,-0.838835
15.385,-0.837845
15.39,-0.836862
15.395,-0.835886
15.4,-0.834916
15.405,-0.833953
15.41,-0.832998
15.415,-0.832051
15.42,-0.831112
15.425,-0.830182
15.43,-0.829261
15.435,-0.828349
15.44,-0.827448
15.445,-0.826558
15.45,-0.825678
15.455,-0.824811
15.46,-0.823956
15.465,-0.823115
15.47,-0.822287
15.475,-0.821475
15.48,-0.820679
15.485,-0.819899
15.49,-0.819138
15.495,-0.818396
15.5,-0.817674
15.505,-0.816974
15.51,-0.816298
15.515,-0.815646
15.52,-0.815022
15.525,-0.814426
15.53,-0.813862
15.535,-0.81333
15.54,-0.812835
15.545,-0.81238
15.55,-0.811966
15.555,-0.811599
15.56,-0.811281
15.565,-0.811018
15.57,-0.810815
15.575,-0.810677
15.58,-0.810611
15.585,-0.810624
15.59,-0.810723
15.595,-0.81092
15.6,-0.811223
15.605,-0.811645
15.61,-0.812201
15.615,-0.812906
15.62,-0.813779
15.625,-0.814842
15.63,-0.816121
15.635,-0.817644
15.64,-0.819449
15.645,-0.821575
15.65,-0.824075
15.655,-0.827007
15.66,-0.830443
15.665,-0.834472
15.67,-0.839198
15.675,-0.844752
15.68,-0.85129
15.685,-0.859005
15.69,-0.86813
15.695,-0.878944
15.7,-0.891771
15.705,-0.906971
15.71,-0.924902
15.715,-0.94583
15.72,-0.969738
15.725,-0.995975
15.73,-1.02271
15.735,-1.04634
15.74,-1.06134
15.745,-1.06159
15.75,-1.04352
15.755,-1.009
15.76,-0.96477
15.765,-0.918761
15.77,-0.87665
15.775,-0.841014
15.78,-0.812189
15.785,-0.789405
15.79,-0.771556
15.795,-0.757572
15.8,-0.746554
15.805,-0.737794
15.81,-0.730751
15.815,-0.725016
15.82,-0.720283
15.825,-0.716324
15.83,-0.712964
15.835,-0.710073
15.84,-0.70755
15.845,-0.705319
15.85,-0.703319
15.855,-0.701505
15.86,-0.69984
15.865,-0.698296
15.87,-0.696849
15.875,-0.695481
15.88,-0.694178
15.885,-0.692928
15.89,-0.691721
15.895,-0.690549
15.9,-0.689406
15.905,-0.688287
15.91,-0.687187
15.915,-0.686102
15.92,-0.685031
15.925,-0.683969
15.93,-0.682916
15.935,-0.68187
15.94,-0.680828
15.945,-0.67979
15.95,-0.678755
15.955,-0.677722
15.96,-0.67669
15.965,-0.675659
15.97,-0.674628
15.975,-0.673597
15.98,-0.672565
15.985,-0.671532
15.99,-0.670499
15.995,-0.669464
16,-0.668428
16.005,-0.66739
16.01,-0.666351
16.015,-0.665309
16.02,-0.664266
16.025,-0.663222
16.03,-0.662175
16.035,-0.661127
16.04,-0.660077
16.045,-0.659025
16.05,-0.657971
16.055,-0.656915
16.06,-0.655857
16.065,-0.654798
16.07,-0.653737
16.075,-0.652674
16.08,-0.651609
16.085,-0.650543
16.09,-0.649475
16.095,-0.648406
16.1,-0.647335
16.105,-0.646262
16.11,-0.645188
16.115,-0.644112
16.12,-0.643035
16.125,-0.641957
16.13,-0.640877
16.135,-0.639796
16.14,-0.638714
16.145,-0.637631
16.15,-0.636546
16.155,-0.63546
16.16,-0.634373
16.165,-0.633285
16.17,-0.632196
16.175,-0.631105
16.18,-0.630014
16.185,-0.628922
16.19,-0.627829
16.195,-0.626734
16.2,-0.625639
16.205,-0.624544
16.21,-0.623447
16.215,-0.622349
16.22,-0.621251
16.225,-0.620152
16.23,-0.619052
16.235,-0.617952
16.24,-0.61685
16.245,-0.615749
16.25,-0.614646
16.255,-0.613543
16.26,-0.612439
16.265,-0.611335
16.27,-0.61023
16.275,-0.609125
16.28,-0.608019
16.285,-0.606913
16.29,-0.605806
16.295,-0.604698
16.3,-0.603591
16.305,-0.602482
16.31,-0.601374
16.315,-0.600265
16.32,-0.599155
16.325,-0.598046
16.33,-0.596936
16.335,-0.595825
16.34,-0.594715
16.345,-0.593604
16.35,-0.592492
16.355,-0.591381
16.36,-0.590269
16.365,-0.589157
16.37,-0.588045
16.375,-0.586932
16.38,-0.585819
16.385,-0.584706
16.39,-0.583593
16.395,-0.58248
16.4,-0.581367
16.405,-0.580253
16.41,-0.579139
16.415,-0.578025
16.42,-0.576911
16.425,-0.575797
16.43,-0.574683
16.435,-0.573569
16.44,-0.572455
16.445,-0.57134
16.45,-0.570226
16.455,-0.569111
16.46,-0.567997
16.465,-0.566882
16.47,-0.565767
16.475,-0.564653
16.48,-0.563538
16.485,-0.562424
16.49,-0.561309
16.495,-0.560194
16.5,-0.55908
16.505,-0.557965
16.51,-0.556851
16.515,-0.555736
16.52,-0.554622
16.525,-0.553507
16.53,-0.552393
16.535,-0.551279
16.54,-0.550165
16.545,-0.549051
16.55,-0.547937
16.555,-0.546823
16.56,-0.545709
16.565,-0.544596
16.57,-0.543482
16.575,-0.542369
16.58,-0.541256
16.585,-0.540143
16.59,-0.53903
16.595,-0.537917
16.6,-0.536804
16.605,-0.535692
16.61,-0.534579
16.615,-0.533467
16.62,-0.532355
16.625,-0.531244
16.63,-0.530132
16.635,-0.529021
16.64,-0.52791
16.645,-0.526799
16.65,-0.525688
16.655,-0.524577
16.66,-0.523467
16.665,-0.522357
16.67,-0.521247
16.675,-0.520137
16.68,-0.519028
16.685,-0.517919
16.69,-0.51681
16.695,-0.515701
16.7,-0.514593
16.705,-0.513485
16.71,-0.512377
16.715,-0.511269
16.72,-0.510162
16.725,-0.509055
16.73,-0.507948
16.735,-0.506842
16.74,-0.505736
16.745,-0.50463
16.75,-0.503524
16.755,-0.502419
16.76,-0.501314
16.765,-0.50021
16.77,-0.499105
16.775,-0.498001
16.78,-0.496898
16.785,-0.495794
16.79,-0.494692
16.795,-0.493589
16.8,-0.492487
16.805,-0.491385
16.81,-0.490283
16.815,-0.489182
16.82,-0.488081
16.825,-0.486981
16.83,-0.48588
16.835,-0.484781
16.84,-0.483681
16.845,-0.482582
16.85,-0.481484
16.855,-0.480385
16.86,-0.479288
16.865,-0.47819
16.87,-0.477093
16.875,-0.475996
16.88,-0.4749
16.885,-0.473804
16.89,-0.472709
16.895,-0.471614
16.9,-0.470519
16.905,-0.469425
16.91,-0.468331
16.915,-0.467238
16.92,-0.466145
16.925,-0.465053
16.93,-0.463961
16.935,-0.462869
16.94,-0.461778
16.945,-0.460687
16.95,-0.459597
16.955,-0.458507
16.96,-0.457418
16.965,-0.456329
16.97,-0.455241
16.975,-0.454153
16.98,-0.453065
16.985,-0.451979
16.99,-0.450892
16.995,-0.449806
17,-0.448721
17.005,-0.447636
17.01,-0.446551
17.015,-0.445467
17.02,-0.444384
17.025,-0.443301
17.03,-0.442218
17.035,-0.441136
17.04,-0.440055
17.045,-0.438974
17.05,-0.437893
17.055,-0.436813
17.06,-0.435734
17.065,-0.434655
17.07,-0.433577
17.075,-0.432499
17.08,-0.431422
17.085,-0.430345
17.09,-0.429269
17.095,-0.428194
17.1,-0.427119
17.105,-0.426044
17.11,-0.42497
17.115,-0.423897
17.12,-0.422824
17.125,-0.421752
17.13,-0.420681
17.135,-0.41961
17.14,-0.418539
17.145,-0.417469
17.15,-0.4164
17.155,-0.415331
17.16,-0.414263
17.165,-0.413196
17.17,-0.412129
17.175,-0.411063
17.18,-0.409997
17.185,-0.408932
17.19,-0.407868
17.195,-0.406804
17.2,-0.405741
17.205,-0.404678
17.21,-0.403616
17.215,-0.402555
17.22,-0.401494
17.225,-0.400434
17.23,-0.399375
17.235,-0.398316
17.24,-0.397258
17.245,-0.3962
17.25,-0.395144
17.255,-0.394088
17.26,-0.393032
17.265,-0.391977
17.27,-0.390923
17.275,-0.38987
17.28,-0.388817
17.285,-0.387765
17.29,-0.386714
17.295,-0.385663
17.3,-0.384613
17.305,-0.383564
17.31,-0.382515
17.315,-0.381467
17.32,-0.38042
17.325,-0.379373
17.33,-0.378328
17.335,-0.377282
17.34,-0.376238
17.345,-0.375194
17.35,-0.374152
17.355,-0.373109
17.36,-0.372068
17.365,-0.371027
17.37,-0.369987
17.375,-0.368948
17.38,-0.36791
17.385,-0.366872
17.39,-0.365835
17.395,-0.364799
17.4,-0.363763
17.405,-0.362728
17.41,-0.361695
17.415,-0.360661
17.42,-0.359629
17.425,-0.358597
17.43,-0.357567
17.435,-0.356537
17.44,-0.355507
17.445,-0.354479
17.45,-0.353451
17.455,-0.352424
17.46,-0.351398
17.465,-0.350373
17.47,-0.349349
17.475,-0.348325
17.48,-0.347302
17.485,-0.34628
17.49,-0.345259
17.495,-0.344239
17.5,-0.343219
17.505,-0.342201
17.51,-0.341183
17.515,-0.340166
17.52,-0.33915
17.525,-0.338136
17.53,-0.337122
17.535,-0.33611
17.54,-0.335099
17.545,-0.334089
17.55,-0.33308
17.555,-0.332073
17.56,-0.331067
17.565,-0.330062
17.57,-0.329058
17.575,-0.328056
17.58,-0.327055
17.585,-0.326055
17.59,-0.325056
17.595,-0.324059
17.6,-0.323063
17.605,-0.322068
17.61,-0.321074
17.615,-0.320082
17.62,-0.319091
17.625,-0.318102
17.63,-0.317113
17.635,-0.316126
17.64,-0.315141
17.645,-0.314156
17.65,-0.313173
17.655,-0.312192
17.66,-0.311211
17.665,-0.310232
17.67,-0.309254
17.675,-0.308278
17.68,-0.307303
17.685,-0.306329
17.69,-0.305357
17.695,-0.304386
17.7,-0.303416
17.705,-0.302448
17.71,-0.301481
17.715,-0.300516
17.72,-0.299552
17.725,-0.298589
17.73,-0.297628
17.735,-0.296668
17.74,-0.29571
17.745,-0.294753
17.75,-0.293797
17.755,-0.292843
17.76,-0.29189
17.765,-0.290938
17.77,-0.289989
17.775,-0.28904
17.78,-0.288093
17.785,-0.287147
17.79,-0.286203
17.795,-0.28526
17.8,-0.284319
17.805,-0.283379
17.81,-0.282441
17.815,-0.281504
17.82,-0.280569
17.825,-0.279635
17.83,-0.278702
17.835,-0.277771
17.84,-0.276842
17.845,-0.275914
17.85,-0.274988
17.855,-0.274063
17.86,-0.273139
17.865,-0.272217
17.87,-0.271297
17.875,-0.270378
17.88,-0.269461
17.885,-0.268545
17.89,-0.267631
17.895,-0.266718
17.9,-0.265807
17.905,-0.264897
17.91,-0.263989
17.915,-0.263083
17.92,-0.262178
17.925,-0.261275
17.93,-0.260373
17.935,-0.259473
17.94,-0.258574
17.945,-0.257677
17.95,-0.256782
17.955,-0.255888
17.96,-0.254995
17.965,-0.254105
17.97,-0.253216
17.975,-0.252328
17.98,-0.251443
17.985,-0.250558
17.99,-0.249676
17.995,-0.248795
18,-0.247916
18.005,-0.247038
18.01,-0.246162
18.015,-0.245288
18.02,-0.244415
18.025,-0.243544
18.03,-0.242675
18.035,-0.241807
18.04,-0.240941
18.045,-0.240076
18.05,-0.239214
18.055,-0.238353
18.06,-0.237493
18.065,-0.236636
18.07,-0.23578
18.075,-0.234926
18.08,-0.234073
18.085,-0.233222
18.09,-0.232373
18.095,-0.231526
18.1,-0.23068
18.105,-0.229836
18.11,-0.228994
18.115,-0.228153
18.12,-0.227315
18.125,-0.226478
18.13,-0.225642
18.135,-0.224809
18.14,-0.223977
18.145,-0.223147
18.15,-0.222319
18.155,-0.221492
18.16,-0.220668
18.165,-0.219845
18.17,-0.219024
18.175,-0.218204
18.18,-0.217387
18.185,-0.216571
18.19,-0.215757
18.195,-0.214945
18.2,-0.214134
18.205,-0.213326
18.21,-0.212519
18.215,-0.211714
18.22,-0.210911
18.225,-0.21011
18.23,-0.20931
18.235,-0.208513
18.24,-0.207717
18.245,-0.206923
18.25,-0.206131
18.255,-0.20534
18.26,-0.204552
18.265,-0.203765
18.27,-0.202981
18.275,-0.202198
18.28,-0.201417
18.285,-0.200638
18.29,-0.19986
18.295,-0.199085
18.3,-0.198312
18.305,-0.19754
18.31,-0.19677
18.315,-0.196003
18.32,-0.195237
18.325,-0.194473
18.33,-0.193711
18.335,-0.19295
18.34,-0.192192
18.345,-0.191436
18.35,-0.190681
18.355,-0.189929
18.36,-0.189178
18.365,-0.18843
18.37,-0.187683
18.375,-0.186938
18.38,-0.186196
18.385,-0.185455
18.39,-0.184716
18.395,-0.183979
18.4,-0.183244
18.405,-0.182511
18.41,-0.18178
18.415,-0.181051
18.42,-0.180324
18.425,-0.179599
18.43,-0.178876
18.435,-0.178154
18.44,-0.177435
18.445,-0.176718
18.45,-0.176003
18.455,-0.17529
18.46,-0.174579
18.465,-0.17387
18.47,-0.173162
18.475,-0.172457
18.48,-0.171754
18.485,-0.171053
18.49,-0.170354
18.495,-0.169657
18.5,-0.168962
18.505,-0.168269
18.51,-0.167579
18.515,-0.16689
18.52,-0.166203
18.525,-0.165518
18.53,-0.164836
18.535,-0.164155
18.54,-0.163476
18.545,-0.1628
18.55,-0.162126
18.555,-0.161453
18.56,-0.160783
18.565,-0.160115
18.57,-0.159449
18.575,-0.158785
18.58,-0.158123
18.585,-0.157463
18.59,-0.156806
18.595,-0.15615
18.6,-0.155496
18.605,-0.154845
18.61,-0.154196
18.615,-0.153549
18.62,-0.152904
18.625,-0.152261
18.63,-0.15162
18.635,-0.150981
18.64,-0.150345
18.645,-0.149711
18.65,-0.149078
18.655,-0.148448
18.66,-0.14782
18.665,-0.147195
18.67,-0.146571
18.675,-0.145949
18.68,-0.14533
18.685,-0.144713
18.69,-0.144098
18.695,-0.143485
18.7,-0.142875
18.705,-0.142266
18.71,-0.14166
18.715,-0.141056
18.72,-0.140454
18.725,-0.139854
18.73,-0.139257
18.735,-0.138661
18.74,-0.138068
18.745,-0.137477
18.75,-0.136889
18.755,-0.136302
18.76,-0.135718
18.765,-0.135136
18.77,-0.134556
18.775,-0.133978
18.78,-0.133403
18.785,-0.13283
18.79,-0.132259
18.795,-0.13169
18.8,-0.131124
18.805,-0.130559
18.81,-0.129997
18.815,-0.129438
18.82,-0.12888
18.825,-0.128325
18.83,-0.127772
18.835,-0.127221
18.84,-0.126673
18.845,-0.126126
18.85,-0.125582
18.855,-0.125041
18.86,-0.124501
18.865,-0.123964
18.87,-0.123429
18.875,-0.122897
18.88,-0.122367
18.885,-0.121839
